"","Two_yr_Recidivism","Number_of_Priors","Age_Above_FourtyFive","Age_Below_TwentyFive","Misdemeanor","Ethnicity","Sex"
"191","1",11,"0","0","0","African_American","Male"
"192","0",0,"0","0","1","African_American","Male"
"193","1",4,"0","0","0","Other","Male"
"194","0",11,"1","0","0","African_American","Male"
"195","0",2,"0","1","0","African_American","Male"
"196","0",0,"0","0","1","African_American","Male"
"197","0",0,"1","0","0","Caucasian","Male"
"198","1",13,"0","0","0","Caucasian","Male"
"199","0",0,"1","0","0","African_American","Male"
"200","0",1,"0","0","0","Caucasian","Male"
"201","1",11,"0","0","1","African_American","Male"
"202","0",1,"0","0","0","Caucasian","Male"
"203","0",0,"0","1","0","African_American","Male"
"204","0",4,"0","0","0","African_American","Male"
"205","0",4,"0","0","0","Hispanic","Male"
"206","1",0,"0","0","0","Caucasian","Male"
"207","1",0,"0","0","0","Caucasian","Male"
"208","0",14,"0","0","0","African_American","Male"
"209","0",1,"1","0","1","Caucasian","Male"
"210","1",25,"0","0","0","African_American","Male"
"211","1",8,"0","0","1","Caucasian","Male"
"212","0",0,"0","0","0","African_American","Male"
"213","1",1,"0","1","1","Caucasian","Male"
"214","0",0,"0","0","1","Other","Female"
"215","0",3,"0","0","0","Other","Female"
"216","0",0,"0","0","1","Hispanic","Female"
"217","1",1,"0","1","0","Hispanic","Male"
"218","1",5,"0","1","0","Caucasian","Female"
"219","0",0,"0","1","1","Hispanic","Male"
"220","0",1,"0","0","1","African_American","Male"
"221","1",1,"0","1","0","African_American","Male"
"222","1",2,"0","0","0","African_American","Male"
"223","0",0,"0","0","0","Other","Male"
"224","0",4,"0","0","0","African_American","Male"
"225","0",2,"0","0","0","African_American","Female"
"226","0",0,"0","1","0","African_American","Male"
"227","0",0,"0","1","0","Hispanic","Male"
"228","0",0,"1","0","0","African_American","Female"
"229","1",0,"0","1","0","African_American","Female"
"230","0",0,"1","0","0","African_American","Female"
"231","0",0,"0","0","0","Caucasian","Male"
"232","1",0,"0","0","0","Caucasian","Male"
"233","1",11,"0","0","0","African_American","Male"
"234","1",3,"0","1","1","African_American","Male"
"235","0",1,"0","1","0","Caucasian","Female"
"236","0",2,"0","0","1","African_American","Female"
"237","0",0,"0","0","0","Other","Female"
"238","1",3,"1","0","0","African_American","Male"
"239","0",0,"0","0","0","African_American","Male"
"240","0",3,"0","0","0","Caucasian","Male"
"241","0",1,"1","0","1","Caucasian","Male"
"242","0",3,"1","0","0","Caucasian","Male"
"243","1",0,"0","1","1","African_American","Male"
"244","1",1,"0","0","1","African_American","Male"
"245","1",3,"0","0","0","Hispanic","Male"
"246","0",5,"0","0","1","Caucasian","Male"
"247","0",5,"0","0","1","African_American","Male"
"248","1",0,"0","1","0","Caucasian","Male"
"249","1",5,"0","0","0","African_American","Male"
"250","1",6,"0","0","0","African_American","Male"
"251","0",0,"0","1","0","Other","Male"
"252","0",2,"1","0","0","Caucasian","Male"
"253","0",0,"0","1","1","African_American","Female"
"254","1",4,"0","1","1","African_American","Male"
"255","0",0,"1","0","0","Caucasian","Male"
"256","0",5,"0","0","0","Caucasian","Male"
"257","1",2,"0","0","0","Other","Male"
"258","0",5,"0","0","0","African_American","Female"
"259","0",0,"0","1","0","Hispanic","Male"
"260","0",0,"0","0","1","African_American","Male"
"261","1",0,"0","0","1","Caucasian","Male"
"262","1",3,"0","0","1","Caucasian","Male"
"263","0",0,"0","0","0","Caucasian","Female"
"264","1",9,"0","1","0","Other","Male"
"265","0",0,"0","0","0","African_American","Male"
"266","1",0,"0","1","0","African_American","Male"
"267","0",0,"1","0","1","Caucasian","Female"
"268","0",0,"1","0","1","Caucasian","Male"
"269","0",7,"0","0","0","African_American","Male"
"270","1",0,"0","1","0","African_American","Male"
"271","0",8,"0","0","0","Caucasian","Male"
"272","1",2,"0","1","0","African_American","Male"
"273","1",36,"1","0","0","Caucasian","Male"
"274","1",2,"0","0","1","Caucasian","Male"
"275","0",3,"0","1","0","Hispanic","Male"
"276","0",0,"0","0","0","African_American","Female"
"277","1",2,"0","0","1","Caucasian","Female"
"278","0",1,"0","1","1","Hispanic","Female"
"279","0",1,"0","0","0","Caucasian","Male"
"280","1",0,"0","1","0","African_American","Female"
"281","0",0,"0","0","1","Caucasian","Male"
"282","0",0,"0","1","0","African_American","Male"
"283","1",1,"0","0","0","Other","Male"
"284","0",0,"0","0","0","African_American","Male"
"285","0",0,"0","0","1","Caucasian","Female"
"286","0",1,"1","0","1","Hispanic","Male"
"287","1",12,"0","0","0","African_American","Male"
"288","0",1,"0","1","0","African_American","Male"
"289","0",3,"1","0","0","African_American","Male"
"290","0",0,"0","0","0","Caucasian","Male"
"291","1",2,"0","1","0","African_American","Male"
"292","0",0,"0","0","1","Hispanic","Male"
"293","0",0,"0","0","1","Other","Male"
"294","0",0,"0","1","0","Caucasian","Female"
"295","0",0,"1","0","1","Caucasian","Male"
"296","0",2,"0","1","0","Caucasian","Male"
"297","1",6,"0","0","1","African_American","Male"
"298","0",0,"0","1","0","Caucasian","Male"
"299","1",0,"0","1","0","African_American","Female"
"300","0",3,"1","0","0","African_American","Male"
"301","0",2,"0","0","1","African_American","Male"
"302","0",0,"1","0","1","Caucasian","Female"
"303","1",3,"0","1","0","African_American","Male"
"304","0",1,"0","1","0","Other","Female"
"305","0",1,"0","0","0","Hispanic","Male"
"306","0",0,"0","0","0","Caucasian","Male"
"307","0",1,"0","1","0","African_American","Male"
"308","1",2,"0","1","1","Caucasian","Male"
"309","1",4,"0","1","0","African_American","Male"
"310","1",0,"0","1","0","African_American","Male"
"311","0",1,"0","0","1","Caucasian","Male"
"312","1",1,"1","0","1","Caucasian","Female"
"313","1",0,"0","0","0","Caucasian","Male"
"314","1",7,"0","0","0","African_American","Male"
"315","0",1,"1","0","1","Caucasian","Female"
"316","0",0,"0","1","0","African_American","Female"
"317","0",1,"0","0","0","African_American","Male"
"318","0",1,"0","0","1","African_American","Male"
"319","1",6,"0","0","0","African_American","Male"
"320","1",4,"0","1","0","African_American","Male"
"321","0",3,"0","1","1","Caucasian","Male"
"322","1",23,"0","0","0","African_American","Male"
"323","0",2,"0","0","0","African_American","Male"
"324","0",2,"1","0","0","African_American","Male"
"325","0",7,"0","0","0","African_American","Male"
"326","1",23,"1","0","0","Caucasian","Male"
"327","0",0,"1","0","1","Caucasian","Female"
"328","1",12,"0","0","0","African_American","Male"
"329","0",5,"0","0","0","African_American","Male"
"330","0",3,"0","0","1","Caucasian","Male"
"331","0",0,"0","0","0","Hispanic","Female"
"332","1",14,"0","0","0","African_American","Male"
"333","0",2,"0","0","0","African_American","Male"
"334","1",0,"0","1","1","African_American","Male"
"335","0",0,"0","0","0","Caucasian","Male"
"336","0",5,"1","0","0","African_American","Male"
"337","1",9,"0","0","0","African_American","Male"
"338","1",4,"1","0","0","Caucasian","Male"
"339","0",3,"0","0","0","African_American","Male"
"340","0",4,"1","0","0","Other","Male"
"341","0",1,"0","1","1","Hispanic","Male"
"342","0",0,"0","0","1","Caucasian","Female"
"343","0",0,"1","0","1","Caucasian","Male"
"344","0",0,"0","1","0","African_American","Female"
"345","0",11,"1","0","0","African_American","Male"
"346","1",0,"0","0","1","Caucasian","Male"
"347","0",0,"0","1","1","Hispanic","Male"
"348","0",0,"0","1","0","Caucasian","Male"
"349","0",2,"1","0","1","Caucasian","Female"
"350","1",7,"0","0","1","African_American","Male"
"351","1",1,"0","1","0","Caucasian","Male"
"352","1",8,"0","0","0","African_American","Male"
"353","0",1,"0","0","0","Other","Male"
"354","1",0,"0","1","0","African_American","Male"
"355","1",0,"0","0","1","Caucasian","Male"
"356","1",21,"1","0","1","African_American","Male"
"357","0",3,"0","1","0","African_American","Male"
"358","1",1,"1","0","1","Hispanic","Male"
"359","0",0,"0","0","0","Caucasian","Male"
"360","1",1,"1","0","0","African_American","Male"
"361","0",3,"0","0","1","Caucasian","Male"
"362","0",3,"0","0","0","African_American","Male"
"363","1",3,"0","1","0","Caucasian","Male"
"364","0",0,"0","0","0","Caucasian","Male"
"365","0",2,"0","0","0","African_American","Male"
"366","1",3,"0","1","0","African_American","Female"
"367","1",1,"0","1","0","Caucasian","Male"
"368","0",2,"0","0","1","Caucasian","Male"
"369","0",0,"0","1","0","Caucasian","Female"
"370","0",0,"0","0","1","Caucasian","Male"
"371","1",2,"0","0","0","Hispanic","Male"
"372","1",1,"0","1","0","African_American","Male"
"373","1",1,"0","1","1","African_American","Male"
"374","0",4,"1","0","0","Caucasian","Male"
"375","0",3,"1","0","0","African_American","Female"
"376","0",1,"0","0","1","African_American","Male"
"377","0",5,"0","0","0","African_American","Male"
"378","0",0,"0","1","1","Caucasian","Male"
"379","1",2,"1","0","0","African_American","Female"
"380","1",0,"0","0","1","Caucasian","Male"
"381","1",0,"0","1","0","Other","Male"
"382","1",13,"0","0","1","African_American","Male"
"383","1",1,"0","0","1","African_American","Male"
"384","1",3,"0","0","0","African_American","Male"
"385","1",6,"1","0","0","Caucasian","Male"
"386","1",1,"0","0","0","Caucasian","Male"
"387","1",5,"1","0","0","African_American","Male"
"388","1",10,"0","0","0","African_American","Male"
"389","0",5,"0","0","0","African_American","Male"
"390","0",2,"1","0","0","Caucasian","Male"
"391","0",0,"0","0","0","African_American","Male"
"392","0",6,"0","1","0","African_American","Male"
"393","1",28,"1","0","0","African_American","Male"
"394","1",8,"0","0","0","African_American","Male"
"395","1",6,"0","1","0","African_American","Female"
"396","0",2,"1","0","1","African_American","Male"
"397","1",12,"1","0","1","African_American","Male"
"398","1",1,"0","1","1","Caucasian","Male"
"399","0",1,"0","0","1","African_American","Male"
"400","1",1,"0","1","0","African_American","Male"
"401","0",0,"1","0","0","Caucasian","Male"
"402","0",0,"0","1","0","Hispanic","Male"
"403","0",3,"0","0","0","Caucasian","Male"
"404","0",3,"1","0","0","Caucasian","Male"
"405","1",4,"0","0","0","Caucasian","Male"
"406","0",0,"1","0","0","Caucasian","Male"
"407","1",4,"0","0","0","Hispanic","Male"
"408","1",1,"1","0","0","Caucasian","Male"
"409","0",0,"0","0","0","Asian","Male"
"410","0",1,"1","0","0","Hispanic","Male"
"411","0",2,"0","0","1","Hispanic","Male"
"412","1",6,"0","1","0","Caucasian","Female"
"413","1",2,"0","1","1","Caucasian","Male"
"414","1",5,"1","0","0","Asian","Male"
"415","0",1,"0","0","0","African_American","Male"
"416","0",0,"0","0","1","Caucasian","Female"
"417","1",0,"0","0","1","Caucasian","Male"
"418","0",0,"1","0","1","African_American","Male"
"419","1",4,"0","0","0","African_American","Male"
"420","0",0,"1","0","1","Caucasian","Female"
"421","0",0,"0","0","0","African_American","Male"
"422","1",1,"0","0","1","Caucasian","Male"
"423","1",7,"0","0","0","Hispanic","Male"
"424","0",20,"1","0","0","Hispanic","Male"
"425","1",33,"1","0","0","African_American","Male"
"426","0",2,"0","0","0","Caucasian","Male"
"427","0",1,"1","0","1","Caucasian","Male"
"428","0",1,"0","0","0","Caucasian","Male"
"429","0",4,"1","0","1","Caucasian","Male"
"430","0",12,"1","0","0","Other","Male"
"431","0",0,"0","0","1","African_American","Female"
"432","0",0,"1","0","1","Caucasian","Female"
"433","0",7,"0","0","1","Hispanic","Male"
"434","0",2,"0","0","1","Other","Male"
"435","0",2,"0","0","1","African_American","Male"
"436","0",6,"0","0","0","African_American","Female"
"437","0",0,"0","0","1","Other","Male"
"438","1",10,"1","0","0","African_American","Male"
"439","1",5,"0","0","0","African_American","Male"
"440","0",0,"0","1","0","Caucasian","Male"
"441","1",1,"1","0","0","Caucasian","Male"
"442","0",4,"1","0","1","African_American","Male"
"443","1",0,"0","1","0","African_American","Male"
"444","1",4,"0","0","0","Caucasian","Male"
"445","0",0,"0","1","0","Caucasian","Male"
"446","0",0,"0","1","1","Caucasian","Male"
"447","0",6,"0","0","0","Caucasian","Male"
"448","1",1,"0","0","1","African_American","Male"
"449","0",0,"0","0","0","African_American","Male"
"450","1",6,"0","0","0","African_American","Male"
"451","1",1,"0","0","0","Caucasian","Male"
"452","1",0,"0","1","0","Caucasian","Male"
"453","0",1,"0","0","0","Other","Male"
"454","0",0,"0","0","0","Caucasian","Male"
"455","0",20,"0","0","0","Hispanic","Male"
"456","0",0,"0","0","0","African_American","Male"
"457","1",14,"0","0","0","African_American","Male"
"458","1",9,"0","1","1","Caucasian","Male"
"459","1",0,"0","1","0","Hispanic","Male"
"460","0",1,"1","0","1","Caucasian","Male"
"461","1",5,"0","0","0","African_American","Male"
"462","1",2,"0","0","1","Hispanic","Male"
"463","1",2,"1","0","0","Caucasian","Male"
"464","0",1,"0","0","1","African_American","Male"
"465","0",2,"0","1","0","Caucasian","Male"
"466","0",8,"0","0","0","African_American","Male"
"467","0",6,"1","0","0","African_American","Male"
"468","0",3,"0","0","0","African_American","Male"
"469","0",0,"1","0","0","Other","Female"
"470","1",3,"0","0","0","African_American","Male"
"471","1",3,"0","1","0","African_American","Male"
"472","0",1,"1","0","1","Caucasian","Male"
"473","1",3,"0","1","0","African_American","Male"
"474","0",3,"1","0","1","African_American","Male"
"475","0",0,"0","0","0","African_American","Male"
"476","0",1,"0","0","0","Caucasian","Male"
"477","1",16,"0","0","0","African_American","Male"
"478","0",0,"0","0","1","African_American","Female"
"479","0",1,"0","1","0","African_American","Male"
"480","1",2,"0","0","0","Caucasian","Male"
"481","0",5,"0","0","0","Caucasian","Male"
"482","0",8,"0","1","0","Hispanic","Male"
"483","1",5,"0","0","1","African_American","Male"
"484","0",11,"0","0","1","Caucasian","Male"
"485","1",6,"0","0","0","African_American","Female"
"486","0",0,"0","0","1","Caucasian","Male"
"487","0",15,"0","0","0","African_American","Male"
"488","0",4,"0","0","0","Hispanic","Male"
"489","0",0,"0","0","1","African_American","Female"
"490","0",1,"1","0","0","Hispanic","Male"
"491","1",2,"1","0","1","Caucasian","Female"
"492","1",5,"1","0","0","Caucasian","Male"
"493","1",0,"1","0","1","Caucasian","Male"
"494","0",0,"1","0","1","Caucasian","Female"
"495","1",5,"0","0","0","African_American","Male"
"496","0",0,"0","1","1","Caucasian","Female"
"497","0",1,"0","1","1","Caucasian","Male"
"498","1",0,"0","0","1","Other","Male"
"499","0",0,"0","0","1","Hispanic","Male"
"500","0",1,"0","0","0","Other","Male"
"501","0",0,"0","0","1","African_American","Male"
"502","0",0,"0","1","0","Caucasian","Female"
"503","0",0,"0","0","1","African_American","Male"
"504","1",0,"0","1","1","Hispanic","Male"
"505","0",1,"0","0","0","Hispanic","Male"
"506","0",0,"0","1","0","Caucasian","Female"
"507","0",1,"0","1","0","African_American","Male"
"508","1",3,"0","0","1","African_American","Male"
"509","1",3,"0","0","1","African_American","Male"
"510","0",0,"0","0","0","African_American","Male"
"511","1",11,"0","1","0","African_American","Male"
"512","0",1,"0","0","0","African_American","Female"
"513","1",1,"0","0","1","Hispanic","Male"
"514","0",1,"0","0","1","African_American","Male"
"515","1",6,"0","0","0","Caucasian","Male"
"516","0",0,"1","0","1","Caucasian","Female"
"517","0",2,"0","0","1","Caucasian","Male"
"518","1",5,"0","0","1","African_American","Male"
"519","0",0,"0","0","0","Caucasian","Male"
"520","1",0,"0","1","0","African_American","Male"
"521","1",4,"0","0","0","African_American","Male"
"522","0",0,"1","0","1","Caucasian","Male"
"523","1",2,"0","0","1","Caucasian","Male"
"524","0",10,"0","0","0","African_American","Male"
"525","1",9,"1","0","1","African_American","Male"
"526","0",3,"0","1","0","Caucasian","Female"
"527","0",0,"0","1","1","African_American","Female"
"528","1",2,"0","1","0","Caucasian","Female"
"529","0",1,"0","0","1","African_American","Male"
"530","0",0,"0","0","1","African_American","Male"
"531","1",15,"1","0","0","African_American","Male"
"532","0",0,"0","0","1","Hispanic","Male"
"533","1",4,"0","1","0","African_American","Male"
"534","1",3,"0","0","0","Caucasian","Male"
"535","0",5,"0","0","1","Caucasian","Male"
"536","0",1,"0","0","0","Caucasian","Male"
"537","1",3,"0","1","0","Caucasian","Male"
"538","0",0,"0","0","0","African_American","Male"
"539","1",18,"0","0","0","African_American","Male"
"540","1",0,"0","0","0","Caucasian","Female"
"541","0",0,"0","1","0","Other","Male"
"542","1",4,"1","0","0","African_American","Female"
"543","1",0,"1","0","1","Caucasian","Female"
"544","0",0,"0","1","0","African_American","Male"
"545","0",0,"0","1","0","African_American","Female"
"546","0",0,"0","0","0","African_American","Male"
"547","1",8,"0","0","0","African_American","Male"
"548","0",10,"0","0","0","African_American","Female"
"549","0",1,"1","0","0","Caucasian","Female"
"550","1",2,"0","0","0","Caucasian","Male"
"551","1",0,"0","0","0","African_American","Male"
"552","1",1,"0","1","0","African_American","Male"
"553","1",13,"0","0","0","African_American","Male"
"554","1",1,"0","0","0","Caucasian","Male"
"555","1",23,"0","0","0","African_American","Male"
"556","0",20,"1","0","0","African_American","Male"
"557","0",3,"0","1","0","African_American","Male"
"558","1",1,"0","0","1","African_American","Male"
"559","1",2,"0","1","1","Hispanic","Male"
"560","1",2,"1","0","1","African_American","Male"
"561","0",0,"0","0","1","African_American","Male"
"562","0",0,"0","0","0","African_American","Female"
"563","0",1,"1","0","1","Caucasian","Male"
"564","0",0,"1","0","0","Hispanic","Male"
"565","0",0,"0","1","0","African_American","Male"
"566","0",11,"0","0","0","African_American","Male"
"567","1",4,"0","0","1","Other","Male"
"568","0",0,"1","0","0","Other","Male"
"569","0",0,"0","0","1","African_American","Female"
"570","0",2,"1","0","0","Caucasian","Female"
"571","0",0,"0","0","1","African_American","Male"
"572","1",0,"0","0","1","African_American","Male"
"573","1",17,"1","0","0","African_American","Male"
"574","0",3,"0","1","0","African_American","Male"
"575","0",0,"0","0","1","Caucasian","Female"
"576","1",15,"0","0","0","Caucasian","Female"
"577","1",7,"0","0","0","Hispanic","Male"
"578","1",2,"0","1","1","African_American","Male"
"579","0",3,"0","0","0","African_American","Male"
"580","1",0,"0","1","0","Asian","Male"
"581","1",3,"1","0","0","Caucasian","Male"
"582","0",5,"0","0","0","African_American","Male"
"583","0",4,"0","0","1","African_American","Male"
"584","1",14,"0","0","0","African_American","Male"
"585","0",2,"1","0","0","Caucasian","Male"
"586","1",3,"0","0","1","African_American","Male"
"587","1",2,"1","0","0","Caucasian","Male"
"588","1",20,"1","0","0","African_American","Male"
"589","0",2,"0","0","1","African_American","Male"
"590","0",1,"0","1","1","African_American","Male"
"591","0",1,"0","0","0","African_American","Male"
"592","0",0,"1","0","0","African_American","Male"
"593","0",6,"0","0","0","African_American","Male"
"594","1",10,"0","0","1","African_American","Male"
"595","1",10,"0","0","0","African_American","Male"
"596","0",1,"0","0","0","Caucasian","Male"
"597","1",9,"1","0","0","Caucasian","Female"
"598","0",1,"1","0","0","Caucasian","Male"
"599","0",0,"0","0","0","African_American","Male"
"600","0",0,"0","1","1","Hispanic","Male"
"601","0",2,"1","0","0","Caucasian","Female"
"602","1",0,"0","1","0","African_American","Male"
"603","1",18,"1","0","0","African_American","Male"
"604","0",0,"1","0","1","African_American","Male"
"605","0",1,"0","1","0","African_American","Male"
"606","1",1,"0","0","0","Caucasian","Male"
"607","0",0,"1","0","0","Caucasian","Male"
